path,category,type,git_tracked,location_correct,action,notes
README.md,config,md,yes,yes,keep,Project overview and quick-start guide
AGENTS.md,config,md,yes,yes,keep,AI/agent coding guidelines for this repo
astro.config.mjs,config,mjs,yes,yes,keep,Astro config and SITE_URL single source of truth
package.json,config,json,yes,yes,keep,Pinned dependencies including @astrojs/sitemap 3.6.0
package-lock.json,config,json,yes,yes,keep,Locked dependency tree
tsconfig.json,config,json,yes,yes,keep,TypeScript strict mode plus path aliases
.gitignore,config,gitignore,yes,yes,keep,Build output and OS/editor noise exclusions
.github/workflows/deploy.yml,ci,yml,yes,yes,keep,GitHub Pages deployment workflow (npm ci + build + deploy-pages)
.vscode/extensions.json,tooling,json,yes,yes,keep,Recommends astro-build.astro-vscode (only tracked .vscode file)
.vscode/settings.json,tooling,json,no,yes,keep,Local only: file watcher excludes dist/ and .astro/
.vscode/tasks.json,tooling,json,no,yes,keep,Local only: Astro dev server task pinned to port 4321
.astro/settings.json,tooling,json,no,yes,keep,Auto-generated by Astro CLI (gitignored)
.astro/types.d.ts,tooling,d.ts,no,yes,keep,Auto-generated Astro type declarations (gitignored)
.claude/settings.local.json,tooling,json,no,yes,keep,Local Claude Code permission allowlist (gitignored)
~/.agentmemory/projects/shared.db,artifact,db,no,no,delete,Misplaced MCP agent-memory DB; ~ is a literal directory at repo root
content/README.md,content,md,yes,yes,keep,Content layer provenance and curation rules
content/site.json,content,json,yes,yes,keep,Site meta / nav pages / section visibility / SEO defaults / theme
content/person/profile.json,content,json,yes,yes,keep,Hero / About / Contact / Vision / Leadership copy
content/person/affiliations.json,content,json,yes,yes,keep,Organisation affiliations list
content/work/experience.json,content,json,yes,yes,keep,Full career history (6 roles with projects and bullets)
content/work/projects.json,content,json,yes,yes,keep,8 headline project cards derived from experience
content/work/skills.json,content,json,yes,yes,keep,6 skill categories with tools and technologies
content/work/mentorship.json,content,json,yes,yes,keep,Mentorship programme details (2 items)
content/work/strategic-impact.json,content,json,yes,yes,keep,Strategic impact metrics (7 fund-level items)
content/research/generative-ai.json,content,json,yes,yes,keep,Generative AI research interests (3 items)
content/research/publications.json,content,json,yes,yes,keep,Published works with links (3 items)
content/research/conferences.json,content,json,yes,yes,keep,Conference speaking engagements with links
content/recognition/education.json,content,json,yes,yes,keep,Degree record
content/recognition/awards.json,content,json,yes,yes,keep,Honours and recognition (7 items)
content/recognition/kaggle.json,content,json,yes,yes,keep,Kaggle competition results (compact list)
docs/README.md,docs,md,yes,yes,keep,Documentation index with section map
docs/getting-started.md,docs,md,yes,yes,keep,Install / dev / build / preview instructions
docs/go-live-checklist.md,docs,md,yes,yes,keep,Step-by-step GitHub Pages publishing guide
docs/content-editing.md,docs,md,yes,yes,keep,How to change site copy via JSON files
docs/assets.md,docs,md,yes,yes,keep,Guide to static assets in public/
docs/architecture.md,docs,md,yes,yes,keep,Repo layout / data flow / build pipeline / key files
docs/requirements.md,docs,md,yes,yes,keep,MoSCoW feature list and acceptance criteria
docs/specification.md,docs,md,yes,yes,keep,Information architecture / routes / section contracts
docs/content-map.md,docs,md,yes,yes,keep,Resume-to-portfolio content traceability matrix
docs/design-direction.md,docs,md,yes,yes,keep,Visual tokens / typography / motion
docs/seo.md,docs,md,yes,yes,keep,Meta tags / OG / Twitter / JSON-LD / sitemap
docs/accessibility.md,docs,md,yes,yes,keep,WCAG 2.1 AA checklist
docs/deployment.md,docs,md,yes,yes,keep,CI/CD and artifact checklist
docs/troubleshooting.md,docs,md,yes,yes,keep,Common build / deploy / content errors
docs/page-briefs/contact.md,docs,md,yes,yes,keep,Contact page section spec and content mapping
docs/page-briefs/experience.md,docs,md,yes,yes,keep,Experience page section spec and content mapping
docs/page-briefs/home.md,docs,md,yes,yes,keep,Home page section spec and content mapping
docs/page-briefs/projects.md,docs,md,yes,yes,keep,Projects page section spec and content mapping
docs/page-briefs/recognition.md,docs,md,yes,yes,keep,Recognition page section spec and content mapping
docs/page-briefs/research.md,docs,md,yes,yes,keep,Research page section spec and content mapping
docs/file-audit.csv,docs,csv,yes,yes,keep,This file: complete repo file audit (created 2026-06-28)
public/favicon.ico,public,ico,yes,yes,keep,Legacy browser favicon
public/favicon.svg,public,svg,yes,yes,keep,Primary vector favicon
public/robots.txt,public,txt,yes,yes,keep,Crawler rules with absolute sitemap URL
public/site.webmanifest,public,json,yes,yes,keep,PWA manifest
public/.nojekyll,public,,yes,yes,keep,Prevents GitHub Pages running Jekyll over _astro/
public/assets/favicon-32.png,public,png,yes,yes,keep,32x32 PNG fallback favicon
public/assets/icons/apple-touch-icon.png,public,png,yes,yes,keep,iOS home screen icon 180x180
public/assets/icons/icon-192.png,public,png,yes,yes,keep,PWA manifest icon 192x192
public/assets/icons/icon-512.png,public,png,yes,yes,keep,PWA manifest icon 512x512
public/assets/icons/.gitkeep,public,,yes,no,delete,Redundant: directory already contains 3 real PNG files
public/assets/images/balaji.png,public,png,yes,yes,keep,Portrait headshot 1.7 MB
public/assets/images/.gitkeep,public,,yes,no,delete,Redundant: directory already contains balaji.png
public/assets/og/og-image.png,public,png,yes,yes,keep,Open Graph social preview image
public/assets/og/.gitkeep,public,,yes,no,delete,Redundant: directory already contains og-image.png
public/assets/resume/balaji-selvaraj-resume.pdf,public,pdf,yes,yes,keep,Downloadable resume PDF (30 KB)
public/assets/resume/.gitkeep,public,,yes,no,delete,Redundant: directory already contains resume PDF
src/env.d.ts,source,d.ts,yes,yes,keep,Astro environment type reference
src/schemas.ts,source,ts,yes,yes,keep,Zod schemas for all content files — single source of truth for types
src/layouts/Layout.astro,source,astro,yes,yes,keep,Master page layout wrapper
src/lib/content.ts,source,ts,yes,yes,keep,JSON loader and Zod validator for all content files
src/lib/icons.ts,source,ts,yes,yes,keep,Icon name schema and SVG registry for Icon.astro
src/scripts/site-chrome.ts,source,ts,yes,yes,keep,Client-side theme toggle and navigation scripts
src/styles/global.css,source,css,yes,yes,keep,Design tokens / light/dark theme / utility classes
src/pages/index.astro,source,astro,yes,yes,keep,Home page route (/)
src/pages/404.astro,source,astro,yes,yes,keep,404 not-found page
src/pages/contact.astro,source,astro,yes,yes,keep,Contact page route (/contact)
src/pages/experience.astro,source,astro,yes,yes,keep,Experience page route (/experience)
src/pages/projects.astro,source,astro,yes,yes,keep,Projects page route (/projects)
src/pages/recognition.astro,source,astro,yes,yes,keep,Recognition page route (/recognition)
src/pages/research.astro,source,astro,yes,yes,keep,Research page route (/research)
src/components/AvailabilityBadge.astro,source,astro,yes,yes,keep,Open-to-opportunities badge shown in hero
src/components/AwardPill.astro,source,astro,yes,yes,keep,Pill chip for award items
src/components/BaseHead.astro,source,astro,yes,yes,keep,HTML head: meta / OG tags / JSON-LD / fonts
src/components/Chip.astro,source,astro,yes,yes,keep,Generic tag/chip primitive
src/components/ContactLink.astro,source,astro,yes,yes,keep,Icon plus label contact channel link
src/components/Divider.astro,source,astro,yes,yes,keep,Horizontal rule divider
src/components/DotNav.astro,source,astro,yes,yes,keep,Dot-based section progress indicator
src/components/Eyebrow.astro,source,astro,yes,yes,keep,Small label displayed above headings
src/components/Footer.astro,source,astro,yes,yes,keep,Site footer with nav links and copyright
src/components/Header.astro,source,astro,yes,yes,keep,Fixed top navigation header
src/components/HeroCanvas.astro,source,astro,yes,yes,keep,Decorative canvas element in hero section
src/components/Icon.astro,source,astro,yes,yes,keep,SVG icon renderer keyed by icons.ts schema
src/components/ImpactCard.astro,source,astro,yes,yes,keep,Strategic-impact metric card
src/components/JourneyNode.astro,source,astro,yes,yes,keep,Single node in the career timeline
src/components/JourneyRow.astro,source,astro,yes,yes,keep,Timeline row connecting journey nodes
src/components/LeadershipCard.astro,source,astro,yes,yes,keep,Leadership philosophy display card
src/components/MetricCard.astro,source,astro,yes,yes,keep,Numeric metric display card
src/components/Monogram.astro,source,astro,yes,yes,keep,BS monogram logo mark
src/components/PipelineStrip.astro,source,astro,yes,yes,keep,Data pipeline flow strip visualization
src/components/Portrait.astro,source,astro,yes,yes,keep,Profile portrait image with decorative frame
src/components/ProjectAccordion.astro,source,astro,yes,yes,keep,Expandable accordion for project details
src/components/ProjectCaseStudyCard.astro,source,astro,yes,yes,keep,Featured project case-study card
src/components/ResearchCard.astro,source,astro,yes,yes,keep,Research domain card
src/components/ResearchDomainMap.astro,source,astro,yes,yes,keep,Visual map of research domains
src/components/Section.astro,source,astro,yes,yes,keep,Generic section wrapper with id and title props
src/components/SectionRenderer.astro,source,astro,yes,yes,keep,Routes section ids to their Astro components
src/components/TechIconRow.astro,source,astro,yes,yes,keep,Row of technology icons
src/components/ThemeScript.astro,source,astro,yes,yes,keep,Inline script for initial theme application (no FOUC)
src/components/sections/About.astro,source,astro,yes,yes,keep,About section: summary paragraphs
src/components/sections/Affiliations.astro,source,astro,yes,yes,keep,Affiliations section: organisation logos
src/components/sections/Awards.astro,source,astro,yes,yes,keep,Awards section: honour cards
src/components/sections/CareerTimeline.astro,source,astro,yes,yes,keep,Career timeline section
src/components/sections/Conferences.astro,source,astro,yes,yes,keep,Conference speaking engagements section
src/components/sections/Contact.astro,source,astro,yes,yes,keep,Full contact section with all channels
src/components/sections/ContactTeaser.astro,source,astro,yes,yes,keep,CTA teaser at the end of most pages
src/components/sections/Education.astro,source,astro,yes,yes,keep,Education section
src/components/sections/Experience.astro,source,astro,yes,yes,keep,Full experience section with role detail
src/components/sections/ExperienceIntro.astro,source,astro,yes,yes,keep,Experience page intro/overview section
src/components/sections/FeaturedCaseStudies.astro,source,astro,yes,yes,keep,Flagship project case studies section
src/components/sections/FeaturedProjects.astro,source,astro,yes,yes,keep,Featured projects teaser on home page
src/components/sections/FeaturedPublications.astro,source,astro,yes,yes,keep,Featured publications teaser on home page
src/components/sections/GenerativeAI.astro,source,astro,yes,yes,keep,Generative AI research interests section
src/components/sections/Hero.astro,source,astro,yes,yes,keep,Hero section: headline / portrait / badges
src/components/sections/Impact.astro,source,astro,yes,yes,keep,Strategic impact metrics section
src/components/sections/Kaggle.astro,source,astro,yes,yes,keep,Kaggle competition rankings section
src/components/sections/LeadershipPhilosophy.astro,source,astro,yes,yes,keep,Leadership philosophy section
src/components/sections/Mentorship.astro,source,astro,yes,yes,keep,Mentorship programme section
src/components/sections/Projects.astro,source,astro,yes,yes,keep,Full project catalogue section
src/components/sections/ProjectsIntro.astro,source,astro,yes,yes,keep,Projects page intro/overview section
src/components/sections/Publications.astro,source,astro,yes,yes,keep,Academic publications section
src/components/sections/Skills.astro,source,astro,yes,yes,keep,Skills and tools section
src/components/sections/Vision.astro,source,astro,yes,yes,keep,Vision and values section
