Current Sentence,Recommendation
"Secured executive sponsorship and built executive alignment around a shared strategic direction, transforming 5 exploratory initiatives into 2 funded, enterprise-scale programs.","[01_about › Strategy & Sponsorship] ""Secured executive sponsorship and forged alignment around a shared strategic direction..."" — ""built ... alignment"" is a weak collocation and reuses the workhorse verb ""built""; ""forged"" (or ""established"") collocates naturally and varies the verb mix."
"Built and deployed a foundation-model platform that standardized training, inference, and evaluation across 3 clinical imaging modalities and 3 internal infrastructures.","[01_about › Platform] ""Established and deployed a foundation-model platform that standardized..."" — vary ""Built"" (use-sparingly, cat 14) toward ""Established""; emphasizes a durable capability over construction."
"Engineered production AI pipelines within AstraZeneca's GxP-compliant platform, supporting validated, traceable, and audit-ready AI deployment.","[01_about › Platform] ""Developed production AI pipelines within AstraZeneca's GxP-compliant platform..."" — one of six uses of ""Engineered""; vary toward ""Developed"" / ""Implemented"" to break the construction cluster."
"Built distributed training pipelines with FSDP and DeepSpeed, reducing training bottlenecks and enabling enterprise-scale foundation model development.","[01_about › Platform] ""Developed distributed training pipelines with FSDP and DeepSpeed..."" — ""Built"" repeats within the same block; vary to ""Developed""."
"Developed and coached a 4-student team to a Top 4 national finish at the Smart India Hackathon (2019).","[01_about › Team & Organization Building] ""Mentored a 4-student team to a Top 4 national finish at the Smart India Hackathon (2019)."" — the identical opener ""Developed and coached"" is used on the two consecutive mentoring bullets; vary the second to ""Mentored"" / ""Guided"" (both accurate, cat 1 leadership)."
"Ensured AI training data adhered to FAIR (Findable, Accessible, Interoperable, Reusable) principles, enabling scientifically rigorous, interoperable, and reusable datasets across clinical studies and AI models.","[01_about › Responsible AI & Data Governance] ""Governed AI training data to FAIR (Findable, Accessible, Interoperable, Reusable) principles, enabling..."" — ""Ensured"" opens two consecutive governance bullets; vary one to ""Governed"" (cat 9, trust & reliability)."
"Delivered a CT tumor-segmentation pipeline that beat state-of-the-art and secured follow-on funding.","[02_experience › AZ India L2 blurb] ""Delivered a CT tumor-segmentation pipeline that exceeded state-of-the-art and secured follow-on funding."" — ""beat"" is informal and competitive; ""exceeded"" / ""surpassed"" reads calmer and more credible for a European executive reader."
"Bridged clinical, engineering, and commercial teams across 50+ hospital sites to drive medical-imaging adoption.","[02_experience › Healthware blurb] ""Bridged clinical, engineering, and commercial teams across 50+ hospital sites to accelerate medical-imaging adoption."" — ""drive"" is an overused cat-14 verb; ""accelerate"" / ""advance"" is more precise."
"Architected a model-agnostic multimodal AI platform integrating omics, imaging, and molecular features for drug safety prediction at scale.","[02_experience › Drug Safety AI Platform] KEEP ""Architected"" here — this is the single most genuinely architectural achievement and is the right anchor for the word. Retire ""Architected"" on the other two bullets (Foundation Model Framework, Digital Pathology) instead so it appears once, not three times."
"Designed the platform for cross-assay, cross-compound scalability, integrating multi-vendor biological data across heterogeneous modalities.","[02_experience › Drug Safety AI Platform] ""Structured the platform for cross-assay, cross-compound scalability, integrating..."" — follows ""Architected"" in the same project; vary to ""Structured"" / ""Shaped"" to break the design/architect pairing."
"Oversaw 3 parallel drug safety delivery streams with a 12-member team, managing stakeholders, resources, risks, and technical direction.","[02_experience › Drug Safety AI Platform] ""Coordinated 3 parallel drug safety delivery streams with a 12-member team, managing..."" — ""Oversaw"" reads top-down; ""Coordinated"" / ""Governed"" reflects matrix leadership (explicitly flagged in the euro lexicon)."
"Engineered a pipeline generalizable across drugs, treatment conditions, and heterogeneous data sources (organoids, xenografts, and clinical studies).","[02_experience › Tumor Recurrence Prediction] ""Developed a pipeline generalizable across drugs, treatment conditions, and heterogeneous data sources..."" — vary ""Engineered"" toward ""Developed""."
"Led a 2-member engineering team over 6 months, driving technical direction, experimentation strategy, roadmap ownership, and end-to-end delivery.","[02_experience › Tumor Recurrence Prediction] ""Led a 2-member engineering team over 6 months, setting technical direction, experimentation strategy, roadmap ownership, and end-to-end delivery."" — ""Led ... driving"" stacks two force verbs; ""setting"" / ""guiding"" is calmer and avoids the cat-14 ""driving""."
"Architected a reusable cross-platform framework to accelerate imaging use-case onboarding and enable rapid experimentation and deployment.","[02_experience › Foundation Model Framework] ""Established a reusable cross-platform framework to accelerate imaging use-case onboarding..."" — 2nd of three ""Architected"" uses; vary to ""Established"" (keep the Drug Safety one as the anchor)."
"Architected an end-to-end AWS ML pipeline spanning data ingestion, preprocessing, distributed training, model interpretability, and inference.","[02_experience › Foundation Models for Digital Pathology] ""Developed an end-to-end AWS ML pipeline spanning data ingestion, preprocessing, distributed training, model interpretability, and inference."" — 3rd ""Architected""; vary to ""Developed"" / ""Built""."
"Engineered an ink-removal pipeline using classical image processing techniques, achieving performance parity with deep learning-based methods.","[02_experience › Foundation Models for Digital Pathology] ""Developed an ink-removal pipeline using classical image processing techniques, achieving performance parity..."" — vary ""Engineered"" toward ""Developed""."
"Engineered scalable video analytics pipelines for person re-identification (ReID) and multi-object tracking (MOT) across indoor and outdoor surveillance.","[02_experience › Video Analytics] ""Developed scalable video analytics pipelines for person re-identification (ReID) and multi-object tracking (MOT)..."" — vary ""Engineered""."
"Engineered thermal-imaging-based physiological monitoring pipelines for real-time body vitals estimation across diverse operational environments.","[02_experience › Pose & Behavior Analysis] ""Developed thermal-imaging-based physiological monitoring pipelines for real-time body vitals estimation..."" — vary ""Engineered""; this is the sixth use across the site."
"Engineered real-time algorithms for polyp detection, blood vessel segmentation, illumination correction, enhancement, inpainting, and artifact removal.","[02_experience › Endoscopy GPU System] ""Developed real-time algorithms for polyp detection, blood vessel segmentation, illumination correction, enhancement, inpainting, and artifact removal."" — vary ""Engineered""."
"Pioneered algorithms for neuron connectivity analysis, neuron tracing, and neuronal network topology mapping from coordinate-based 3D points.","[02_experience › Mouse Brain Architecture] ""Introduced algorithms for neuron connectivity analysis, neuron tracing, and neuronal network topology mapping..."" — ""Pioneered"" leans into innovation-hype; European style prefers ""Introduced"" / ""Developed"" (cat 10)."
"Championed Verification & Validation (V&V) protocols for an ultrasound-guided (US-guided) robotic navigation system for liver tumor ablation.","[02_experience › Robotic Navigation] ""Established Verification & Validation (V&V) protocols for an ultrasound-guided (US-guided) robotic navigation system for liver tumor ablation."" — ""Championed"" is a cat-14 top-offender; ""Established"" / ""Led"" is more concrete for protocol work."
"Directed alignment as primary liaison across clinicians, biomedical engineers, sales teams, service teams, and hospital leadership spanning 50+ sites.","[02_experience › Clinical Adoption] ""Coordinated alignment as primary liaison across clinicians, biomedical engineers, sales teams, service teams, and hospital leadership spanning 50+ sites."" — ""Directed"" reads top-down; ""Coordinated"" / ""Aligned"" fits a liaison role and collocates better with ""alignment""."
"Headed value-based pre-sales engagements covering needs assessments, clinical evaluations, economic justification, and competitive displacement.","[02_experience › Clinical Adoption] ""Led value-based pre-sales engagements covering needs assessments, clinical evaluations, economic justification, and competitive displacement."" — ""Headed"" is hierarchical; ""Led"" is the neutral standard."
"Spearheaded delivery","[05_vision › Persister Analysis card] ""Led delivery"" — ""Spearheaded"" is a cat-14 top-offender, and the same card already says ""Secured strategic ownership""; ""Led"" / ""Drove"" is enough."
